Game,Fc_new,Fc,Fc_delta,Fg,Q_new,Q,Q_delta,Uc_new,Uc,Uc_delta,Ug_new,Ug,Ug_delta,Cc_new,Cc,Cc_delta,Cg_new,Cg,Cg_delta
Godzilla,1700,1500,200,177,42.516667,42.55,-0.033333,31.856667,34.775,-2.918333,99.903333,99.861667,0.041666,27.07816695,26.08125,0.99691695,32.56517485,32.55159311,0.013581735
Godzilla,1700,1500,200,266,60,60.016639,-0.016639,44.645,48.668885,-4.023885,95.068333,95.317804,-0.249471,37.94825,36.50166375,1.44658625,46.57122758,46.69343621,-0.12220863
Godzilla,1700,1500,200,350,60.066667,60.033333,0.033334,44.598333,48.665,-4.066667,75.535,75.546667,-0.011667,37.90858305,36.49875,1.40983305,48.6873849,48.69490506,-0.007520166
Godzilla,1700,1500,200,420,60.049917,60.016667,0.03325,44.680532,48.663333,-3.982801,65.144759,64.925,0.219759,37.9784522,36.49749975,1.48095245,50.38821138,50.21823204,0.169979337
Godzilla,1700,1500,200,480,60.033278,60.049917,-0.016639,44.745424,48.72213,-3.976706,58.199667,58.429285,-0.229618,38.0336104,36.5415975,1.4920129,51.44721945,51.65019669,-0.202977238
Godzilla,1700,1500,200,543,60.033333,60.033278,0.000055,44.598333,48.748752,-4.150419,52.696667,52.787022,-0.090355,37.90858305,36.561564,1.34701905,52.696667,52.787022,-0.090355
Godzilla,1800,1500,300,177,42.55,42.55,0,30.615,34.775,-4.16,99.948333,99.861667,0.086666,27.5535,26.08125,1.47225,32.57984335,32.55159311,0.028250243
Godzilla,1800,1500,300,266,60.033278,60.016639,0.016639,43.018303,48.668885,-5.650582,95.101497,95.317804,-0.216307,38.7164727,36.50166375,2.21480895,46.58747367,46.69343621,-0.105962545
Godzilla,1800,1500,300,350,60.05,60.033333,0.016667,43.213333,48.665,-5.451667,75.266667,75.546667,-0.28,38.8919997,36.49875,2.3932497,48.51442624,48.69490506,-0.180478821
Godzilla,1800,1500,300,420,60.016639,60.016667,-0.000028,43.519135,48.663333,-5.144198,64.926789,64.925,0.001789,39.1672215,36.49749975,2.66972175,50.2196158,50.21823204,0.001383757
Godzilla,1800,1500,300,480,60.049917,60.049917,0,43.159734,48.72213,-5.562396,58.164725,58.429285,-0.26456,38.8437606,36.5415975,2.3021631,51.41633149,51.65019669,-0.233865193
Godzilla,1800,1500,300,543,60.016639,60.033278,-0.016639,43.171381,48.748752,-5.577371,52.499168,52.787022,-0.287854,38.8542429,36.561564,2.2926789,52.499168,52.787022,-0.287854
