Game,Fg_new,Fg,Fg_delta,Fc,Q_new,Q,Q_delta,Ug_new,Ug,Ug_delta,Uc_new,Uc,Uc_delta,Cg_new,Cg,Cg_delta,Cc_new,Cc,Cc_delta
Mono 110,420,266,154,1900,59.99,60.1,-0.11,40,58,-18,50,46,4,30.93922652,28.41252302,2.526703499,47.5,43.7,3.8
Mono 110,420,266,154,2000,59.99,60,-0.01,40,58,-18,45,45,0,30.93922652,28.41252302,2.526703499,45,45,0
Mono 110,480,266,214,1200,60,59.99,0.01,36,59,-23,53,59,-6,31.82320442,28.90239411,2.920810313,31.8,35.4,-3.6
Mono 110,480,266,214,1300,60,59.99,0.01,36,59,-23,51,57,-6,31.82320442,28.90239411,2.920810313,33.15,37.05,-3.9
Mono 110,480,266,214,1400,60,60.1,-0.1,36,59,-23,51,57,-6,31.82320442,28.90239411,2.920810313,35.7,39.9,-4.2
Mono 110,480,266,214,1500,59.99,59.99,0,36,59,-23,49,56,-7,31.82320442,28.90239411,2.920810313,36.75,42,-5.25
Mono 110,480,266,214,1600,59.99,59.99,0,36,59,-23,46,55,-9,31.82320442,28.90239411,2.920810313,36.8,44,-7.2
Mono 110,480,266,214,1700,60,60,0,36,59,-23,45,50,-5,31.82320442,28.90239411,2.920810313,38.25,42.5,-4.25
Mono 110,480,266,214,1800,59.99,59.99,0,36,59,-23,50,49,1,31.82320442,28.90239411,2.920810313,45,44.1,0.9
Mono 110,480,266,214,1900,60.1,60.1,0,36,58,-22,48,46,2,31.82320442,28.41252302,3.4106814,45.6,43.7,1.9
Mono 110,480,266,214,2000,59.99,60,-0.01,36,58,-22,46,45,1,31.82320442,28.41252302,3.4106814,46,45,1
Mono 110,543,266,277,1200,59.99,59.99,0,33,59,-26,53,59,-6,33,28.90239411,4.097605893,31.8,35.4,-3.6
Mono 110,543,266,277,1300,59.99,59.99,0,33,59,-26,51,57,-6,33,28.90239411,4.097605893,33.15,37.05,-3.9
Mono 110,543,266,277,1400,59.99,60.1,-0.11,33,59,-26,51,57,-6,33,28.90239411,4.097605893,35.7,39.9,-4.2
Mono 110,543,266,277,1500,59.99,59.99,0,33,59,-26,49,56,-7,33,28.90239411,4.097605893,36.75,42,-5.25
Mono 110,543,266,277,1600,59.99,59.99,0,33,59,-26,48,55,-7,33,28.90239411,4.097605893,38.4,44,-5.6
Mono 110,543,266,277,1700,60,60,0,33,59,-26,48,50,-2,33,28.90239411,4.097605893,40.8,42.5,-1.7
Mono 110,543,266,277,1800,60,59.99,0.01,33,59,-26,45,49,-4,33,28.90239411,4.097605893,40.5,44.1,-3.6
Mono 110,543,266,277,1900,59.99,60.1,-0.11,33,58,-25,44,46,-2,33,28.41252302,4.58747698,41.8,43.7,-1.9
Mono 110,543,266,277,2000,59.99,60,-0.01,33,58,-25,47,45,2,33,28.41252302,4.58747698,47,45,2
Mono 110,420,350,70,1200,59.99,59.99,0,40,47,-7,51,53,-2,30.93922652,30.2946593,0.644567219,30.6,31.8,-1.2
